num_items,real_count,estimated_count,abs_error,rel_error,mem_usage_MB
10000,4587,4604,17,0.0037,0.0004
20000,14571,14590,19,0.0013,0.0004
30000,17530,17568,38,0.0022,0.0004
40000,15729,15811,82,0.0052,0.0004
50000,8992,9125,133,0.0148,0.0004
70000,40286,40378,92,0.0023,0.0004
100000,39272,39465,193,0.0049,0.0004
150000,81979,82211,232,0.0028,0.0004
200000,163811,163935,124,0.0008,0.0004
250000,97688,98221,533,0.0055,0.0004
300000,131767,132353,586,0.0044,0.0004
350000,64284,65294,1010,0.0157,0.0005
400000,220012,220653,641,0.0029,0.0004
450000,182731,183658,927,0.0051,0.0004
500000,61538,63038,1500,0.0244,0.0004
