stream_size,avg_insert_time_s,real_avg,estimated_avg,error_abs,error_rel,mem_usage_mb
100,2.716000e-06,456.46,456.46,0.00,0.0000,0.0007
200,2.390000e-06,514.66,514.66,0.00,0.0000,0.0007
300,2.427000e-06,499.40,499.40,0.00,0.0000,0.0007
400,2.475500e-06,477.04,477.04,0.00,0.0000,0.0007
500,2.489800e-06,504.86,504.86,0.00,0.0000,0.0007
600,3.143833e-06,515.82,515.82,0.00,0.0000,0.0007
700,2.490714e-06,453.96,453.96,0.00,0.0000,0.0007
800,2.561250e-06,463.44,463.44,0.00,0.0000,0.0007
900,3.148778e-06,492.86,492.86,0.00,0.0000,0.0007
1000,2.548900e-06,525.70,525.70,0.00,0.0000,0.0007
